STATE,TURNOUT,EDUCATION
Alabama,58.77,26.20
Alaska,60.79,30
Arizona,65.86,30.30
Arkansas,53.92,23.80
California,55.75,34.70
Colorado,74.47,41.60
Connecticut,65.62,40
Delaware,67.24,32.70
District of Columbia,57.99,59.80
Florida,66.69,30.50
Georgia,67.97%,32.20%
Hawaii,55.35,33.60
Idaho,63.61,28.70
Illinois,59.59,35.50
Indiana,57.18,27.20
Iowa,70.82,29.30
Kansas,61.58,33.90
Kentucky,62.41,25
Louisiana,60.89,24.90
Maine,72.27,32.50
Maryland,56.57,40.90
Massachusetts,67.78,44.50
Michigan,74.29,30
Minnesota,76.53,36.80
Mississippi,57.45,22.80
Missouri,63.05,29.90
Montana,67.37,33.10
Nebraska,66.18,32.50
Nevada,63.68,25.50
New Hampshire,74.36,37.60
New Jersey,63.78,40.70
New Mexico,59.04,28.10
New York,57.69,37.50
North Carolina,70.02,32
North Dakota,63.10,30.70
Ohio,65.94,28.90
Oklahoma,53.44,26.10
Oregon,67.01,34.40
Pennsylvania,69.66,32.30
Rhode Island,61.90,35
South Carolina,62.96,29
South Dakota,64.52,29.30
Tennessee,57.61,28.20
Texas,56.44,30.70
Utah,60.96,34.70
Vermont,71.29,39.70
Virginia,69.02,39.50
Washington,70.85,36.70
West Virginia,54.69,21.30
Wisconsin,76.37,30.80
Wyoming,62.16,28.20
